WBAN_ID,STATION_NAME,STATE_PROVINCE,COUNTRY
00215,CLARENCE E PAGE MUNICIPAL AIRPORT,OK,US
00216,JACK BARSTOW AIRPORT,MI,US
00217,MARLBORO COUNTY JETPPORT H E AVENT FIELD,SC,US
00218,SUMMERVILLE AIRPORT,SC,US
00219,HARTSVILLE REGIONAL AIRPORT,SC,US
00220,FAIRFIELD COUNTY AIRPORT,SC,US
00221,H A CLARK MEMORIAL FIELD AIRPORT,AZ,US
00222,CLINTON MEMORIAL AIRPORT,MO,US
00223,HOUSTON SOUTHWEST AIRPORT,TX,US
00224,BEND MUNICIPAL AIRPORT,OR,US
00225,HORSESHOE BAY RESORT AIRPORT,TX,US
00226,BUCKEYE MUNICIPAL AIRPORT,AZ,US
00227,PLACERVILLE AIRPORT,CA,US
00228,HALF MOON BAY AIRPORT,CA,US
00229,LAMPASAS AIRPORT,TX,US
00230,AUSTIN EXECUTIVE AIRPORT,TX,US
00231,HALIFAX NORTHAMPTON REGIONAL AIRPORT,NC,US
00232,UNION COUNTY AIRPORT,OH,US
00233,USMC MOUNTAIN WARFARE TRAINING CENTER,CA,US
00234,CORNING MUNICIPAL AIRPORT,AR,US
00235,CRYSTAL RIVER AIRPORT,FL,US
00236,MIDDLETON MUNICIPAL MOREY FIELD AIRPORT,WI,US
00237,FIELD OF DREAMS AIRPORT,MN,US
00238,SAUK CENTRE MUNICIPAL AIRPORT,MN,US
00239,OZONA MUNICIPAL AIRPORT,TX,US
00240,IONIA COUNTY AIRPORT,MI,US
00241,VIROQUA MUNICIPAL AIRPORT,WI,US
00242,INDEPENDENCE OIL PLATFORM,LA,US
00243,MAGNOLIA OIL PLATFORM,LA,US
00244,SHIP SHOAL OIL PLATFORM,LA,US
00245,INNOVATOR OIL PLATFORM,MS,US
00246,EAST BREAKS OIL PLATFORM,TX,US
00247,GUNNISON OIL PLATFORM,TX,US
00248,JESUP WAYNE COUNTY AIRPORT,GA,US
00249,WEST GEORGIA REGIONAL AIRPORT O V GRAY FIELD,GA,US
00250,HENRY TIFT MYERS AIRPORT,GA,US
00251,DARKE COUNTY AIRPORT,OH,US
00252,PAULDING NORTHWEST ATLANTA AIRPORT,GA,US
00253,MISSISSIPPI CANYON 311 A,LA,US
00254,EAST CAMERON 278 OIL PLATFORM,LA,US
00255,SABINE OIL PLATFORM,LA,US
00256,SOUTH MARSH 268 OIL PLATFORM,LA,US
00257,VERMILLION 26 OIL PLATFORM,LA,US
00258,ALEXANDER MUNICIPAL AIRPORT,NM,US
00259,GALVESTON 424 OIL PLATFORM,TX,US
00260,HIGH ISLAND 376,TX,US
00261,MUSTANG ISLAND 31,TX,US
00262,MUSTANG ISLAND A85A,TX,US
00263,BOERNE STAGE FIELD AIRPORT,TX,US
00264,NAMPA MUNICIPAL AIRPORT,ID,US
00265,FULTON COUNTY AIRPORT,IN,US
00266,CARRINGTON MUNICIPAL AIRPORT,ND,US
00267,THOMASVILLE REGIONAL AIRPORT,GA,US
00268,MINDEN AIRPORT,LA,US
00269,BOULDER CITY MUNICIPAL AIRPORT,NV,US
00270,FAITH RANCH AIRPORT,TX,US
00271,PICKENS COUNTY AIRPORT,SC,US
00272,BOOMVANG SPAR OIL PLATFORM,,US
00273,COVINGTON MUNICIPAL AIRPORT,GA,US
00274,LEE COUNTY AIRPORT,VA,US
00275,GEORGE  M BRYAN AIRPORT,MS,US
00276,COLEMAN MUNICIPAL AIRPORT,TX,US
00277,COURTLAND AIRPORT,AL,US
00278,JOHN BELL WILLIAMS AIRPORT,MS,US
00279,RENO STEAD AIRPORT,NV,US
00280,MEADOW LAKE AIRPORT,CO,US
00281,ROLLA MUNICIPAL AIRPORT,ND,US
00282,BEACH AIRPORT,ND,US
00283,CAVALIER MUNICIPAL AIRPORT,ND,US
00284,SCOTTSBORO MUNICIPAL AIRPORT WORD FIELD,AL,US
00285,CANDO MUNICIPAL AIRPORT,ND,US
00286,BLACK RIVER FALLS AREA AIRPORT,WI,US
00287,CROSBY MUNICIPAL AIRPORT,ND,US
00288,ROBERTSON FIELD AIRPORT,ND,US
00289,TIOGA MUNICIPAL AIRPORT,ND,US
00290,TARBORO EDGECOMBE AIRPORT,NC,US
00291,HUTSON FIELD AIRPORT,ND,US
00292,MERCER COUNTY REGIONAL AIRPORT,ND,US
00293,RUGBY MUNICIPAL AIRPORT,ND,US
00294,WATFORD CITY MUNICIPAL AIRPORT,ND,US
00295,JESSE VIERTEL MEMORIAL AIRPORT,MO,US
00296,MANDAN MUNICIPAL AIRPORT,ND,US
00297,MANITOWISH WATERS AIRPORT,WI,US
00298,DUPONT LAPEER AIRPORT,MI,US
00299,DELAND MUNICIPAL AIRPORT SYDNEY H TAYLOR FIELD,FL,US
00300,STANLEY MUNICIPAL AIRPORT,ND,US
00301,BARNES COUNTY MUNICIPAL AIRPORT,ND,US
00302,VIOSCA KNOLL 768 OIL PLATFORM,AL,US
00303,SALSA,LA,US
00304,EUGENE ISLAND OIL PLATFORM,LA,US
00305,EAST CAMERON 47 OIL PLATFORM,LA,US
00306,HIGH ISLAND 179 OIL PLATFORM,LA,US
00307,MAIN PASS 140 B,SD,US
00308,NORTH PADRE ISLAND,TX,US
00309,WEST CAMERON 368 A OIL PLATFORM,TX,US
00310,BOUNDARY COUNTY AIRPORT,ID,US
00311,ROSCOE TURNER AIRPORT,MS,US
00312,ATLANTIS OIL PLATFORM,LA,US
00313,BEAUMONT MUNICIPAL AIRPORT,TX,US
00314,FLETCHER FIELD AIRPORT,MS,US
00315,DELAWARE MUNICIPAL JIM MOORE FIELD AIRPORT,OH,US
00316,CUMBERLAND MUNICIPAL AIRPORT,WI,US
00317,BROOKHAVEN LINCOLN COUNTY AIRPORT,MS,US
00318,LINTON MUNICIPAL AIRPORT,ND,US
00319,WRAY MUNICIPAL AIRPORT,CO,US
00320,PETALUMA MUNICIPAL AIRPORT,CA,US
00321,OAKES MUNICIPAL AIRPORT,ND,US
00322,HARVEY MUNICIPAL AIRPORT,ND,US
00323,WAHOO MUNICIPAL AIRPORT,NE,US
00324,BELLEFONTAINE REGIONAL AIRPORT,OH,US
00325,QUINCY MUNICIPAL AIRPORT,FL,US
00326,FERNANDINA BEACH MUNICIPAL AIRPORT,FL,US
00327,COOPERSTOWN MUNICIPAL AIRPORT,ND,US
00328,JIMMY CARTER REGIONAL AIRPORT,GA,US
00329,CAMDENTON MEMORIAL AIRPORT,MO,US
00330,EAST GEORGIA REGIONAL AIRPORT,GA,US
00331,MAIN PASS 289 C OIL PLATFORM,LA,US
00332,VERMILION 331 OIL PLATFORM,,US
00333,PORT FORCHON HELIPORT,LA,US
00334,TUCKER GUTHRIE MEMORIAL AIRPORT,KY,US
00335,BUTLER MUNICIPAL AIRPORT,GA,US
00336,LOGANSPORT CASS COUNTY AIRPORT,IN,US
00337,HEART OF GEORGIA REGIONAL AIRPORT,GA,US
00338,TYNDALL DRONE RUNWAY,FL,US
00339,GRIFFIN SPALDING COUNTY AIRPORT,GA,US
00340,SILER CITY MUNICIPAL AIRPORT,NC,US
00341,TEN SLEEP,WY,US
00342,SOUTH PASS,WY,US
00343,ST MARYS HOSPITAL,MN,US
00344,WINCHESTER MUNICIPAL AIRPORT,TN,US
00345,LORDSBURG MUNICIPAL AIRPORT,NM,US
00346,TRINITY CENTER AIRPORT,CA,US
00347,LA PORTE MUNICIPAL AIRPORT,IN,US
00348,TULLAHOMA REGIONAL AIRPORT WILLIAM NORTHERN FIELD,TN,US
00349,ANDREWS COUNTY AIRPORT,TX,US
00350,FITZGERALD MUNICIPAL AIRPORT,GA,US
00351,CAMERON MUNICIPAL AIRPORT,TX,US
00352,HAZLEHURST AIRPORT,GA,US
00353,BOYSEN THERMOPOL,WY,US
00354,MIDWEST NATIONAL AIR CENTER AIRPORT,MO,US
00355,CHEROKEE COUNTY AIRPORT,GA,US
00356,CAMBRIDGE DORCHESTER AIRPORT,MD,US
00357,HAMILTON MUNICIPAL AIRPORT,TX,US
00358,COLLEGE PARK AIRPORT,MD,US
00359,SOUTHLAND FIELD AIRPORT,LA,US
00360,OKEECHOBEE COUNTY AIRPORT,FL,US
00361,GLASGOW MUNICIPAL AIRPORT,KY,US
00362,GATESVILLE MUNICIPAL AIRPORT,TX,US
00363,SKYHAVEN AIRPORT,MO,US
00364,THOMAS P STAFFORD AIRPORT,OK,US
00365,T P MC CAMPBELL AIRPORT,TX,US
00366,CLAXTON EVANS COUNTY AIRPORT,GA,US
00367,WARRENTON FAUQUIER AIRPORT,VA,US
00368,WALHALLA MUNICIPAL AIRPORT,ND,US
00369,MCOLF CAMP PENDLETON RED BEACH AIRPORT,CA,US
00370,PINEY ISLAND,NC,US
00371,SANTEE COOPER REGIONAL AIRPORT,SC,US
00372,UPPER CUMBERLAND REGIONAL AIRPORT,TN,US
00373,HARRELL FIELD AIRPORT,AR,US
00374,PAYSON AIRPORT,AZ,US
00375,SEDONA AIRPORT,AZ,US
00376,MOUNT WERNER,CO,US
00377,INVERNESS AIRPORT,FL,US
00378,CLEVELAND MUNICIPAL AIRPORT,TX,US
00379,ALLENTOWN QUEEN CITY MUNICIPAL AIRPORT,PA,US
00380,PORTAGE COUNTY AIRPORT,OH,US
00381,JENNINGS AIRPORT,LA,US
00382,TOCCOA RG LETOURNEAU FIELD AIRPORT,GA,US
00383,ANSON COUNTY AIRPORT JEFF CLOUD FIELD,NC,US
00384,MICHIGAN CITY MUNICIPAL AIRPORT PHILLIPS FIELD,IN,US
00385,BALD MOUNTAIN COTTONWOOD PASS,CO,US
00386,BLACK HILLS AIRPORT CLYDE ICE FIELD,SD,US
00387,GRANT COUNTY REGIONAL AIRPORT OGILVIE FIELD,OR,US
00388,JASPER COUNTY AIRPORT,IN,US
00389,MONROE COUNTY AIRPORT,MS,US
00390,MT PLEASANT REGIONAL AIRPORT FASION FIELD,SC,US
00391,GEORGETOWN COUNTY AIRPORT,SC,US
00392,HOLLISTER MUNICIPAL AIRPORT,CA,US
00393,TELLER AIRPORT,AK,US
00394,JACKSON COUNTY AIRPORT,GA,US
00395,SOUTH COUNTY AIRPORT OF SANTA CLARA COUNTY,CA,US
00396,ROHNERVILLE AIRPORT,CA,US
00397,NEVADA COUNTY AIR PARK,CA,US
00398,MERCEDITA AIRPORT,,RQ
00399,PRINCESS JULIANA INTERNATIONAL AIRPORT,,NT
00400,F D ROOSEVELT AIRPORT,,NT
00401,POINTE A PITRE INTERNATIONAL AIRPORT,,GP
00402,MELVILLE HALL AIRPORT,,DO
00403,CANEFIELD AIRPORT,,DO
00404,MARTINIQUE AIME CESAIRE INTERNATIONAL AIRPORT,,MB
00405,GEORGE F L CHARLES AIRPORT,,ST
00406,HEWANORRA INTERNATIONAL AIRPORT,,ST
00407,E T JOSHUA AIRPORT,,VC
00408,GRANTLEY ADAMS INTERNATIONAL AIRPORT,,BB
00409,MAURICE BISHOP INTERNATIONAL AIRPORT,,GJ
00410,ARTHUR NAPOLEON RAYMOND ROBINSON INTERNATIONAL AIRPORT,,TD
00411,QUEEN BEATRIX INTERNATIONAL AIRPORT,,AA
00412,HATO INTERNATIONAL AIRPORT,,NT
00413,FLAMINGO INTERNATIONAL AIRPORT,,NT
00414,PEGASUS FIELD,,AY
00415,KEYSTONE AIRPARK,FL,US
00416,LURAY CAVERNS AIRPORT,VA,US
